text,cleaned1
"QS. Al-Baqarah ayat 216
""Boleh jadi kamu membenci sesuatu, padahal ia amat baik bagimu, dan boleh jadi (pula) kamu menyukai sesuatu, padahal ia amat buruk bagimu. Allah mengetahui, sedang kamu tidak mengetahui."" 

الْحَمْدُ لِلَّهِ عَلَى كُلِّ حَالٍ
Sejatinya hidup itu anugerah, sekalipun berbalut musibah, hidup itu tetaplah anugerah ketika kita cerdas mengambil hikmah,,,

Jika semuanya nampak tidak masuk akal, maka tundukkan akal pada keimanan.

Rencana Allah selalu berakhir baik, jika belum baik maka itu bukan akhir,,,
In syaa Allah,,,",qs albaqarah ayat boleh jadi kamu membenci sesuatu padahal ia amat baik bagimu dan boleh jadi pula kamu menyukai sesuatu padahal ia amat buruk bagimu allah mengetahui sedang kamu tidak mengetahui sejatinya hidup itu anugerah sekalipun berbalut musibah hidup itu tetaplah anugerah ketika kita cerdas mengambil hikmah jika semuanya menampak tidak masuk akal maka tundukkan akal pada keimanan rencana allah selalu berakhir baik jika belum baik maka itu bukan akhir masuk saya allah
"Ketika hasil pemilu, hukum bisa d setir oleh elit, segelintir org² yg haus kekuasaan, keserakahan.... wkt yg akan buktikan siapa yg benar.

Pak Tom telah berjasa, berkontribusi bnyk bt negara tp d kriminalisasikan oleh negara.
Anehny yg merugikan negara msh bebas keluar LN",ketika hasil pemilihan umum hukum bisa di setir oleh elite segelintir orang yang haus kekuasaan keserakahan waktu yang akan buktikan siapa yang benar pak tom telah berjasa berkontribusi bak buat negara tapi di kriminalisasikan oleh negara anehny yang merugikan negara masih bebas keluar ln
"Di dunia Indonesia memang harus penuh kesabaran dan keikhlasan. Dan harus yakin bahwa doa orang terdzalimi pasti dikabulkan Allah SWT. Semoga Allah tunjukkan yang BENAR, dan hancurkan yang SALAH.",di dunia indonesia memang harus penuh kesabaran dan keikhlasan dan harus yakin bahwa doa orang terdzalimi pasti dikabulkan allah subhanahu wa taala semoga allah tunjukan yang benar dan hancurkan yang salah
"Dampak dr nowel anak nya mulyono soal teks yg beliau buat buat babenya mungkin ya ini. 
Dahsyat dan luar biasa kotor permainan politik ini. 

Semua doa terbaik buat pak Tom Lembong dan semoga para pemutus hukum yg tidak berpihak pada keadilan dihukum sepedih2nya dunia dan akhirat.
Sungguh demi Allah kami tidak pernah rela hukum bisa dipermainkan spt ini.",dampak dari nowel anak nya mulyono soal teks yang beliau buat buat babenya mungkin iya ini dahsyat dan luar biasa kotor permainan politik ini semua doa terbaik buat pak tom lembong dan semoga para pemutus hukum yang tidak berpihak pada keadilan dihukum sepedihnya dunia dan akhirat sungguh demi allah kami tidak pernah rela hukum bisa dipermainkan seperti ini
"Ya Alloh ngerinya negeri ini,
Pak Tom semoga selalu bersabar InsyaAlloh  Alloh segera memberikan hadiah terindah untuk Pak Tom🤲🤲🤲,dan orang2 yg telah mendzolimi beliau akan segera mendapatkan balasannya itu pasti",iya allah ngerinya negeri ini pak tom semoga selalu bersabar insyaallah allah segera memberikan hadiah terindah untuk pak tom dan orang yang telah menzalimi beliau akan segera mendapatkan balasannya itu pasti
Sehat selalu pak Tom...percayalah allah tidak tidur,sehat selalu pak tompercayalah allah tidak tidur
"Menyedihkan, mengerikan & semoga azab Alloh SWT Tuhan YME segera turun bagi pengadil yg tdk adil...",menyedihkan mengerikan semoga azab allah subhanahu wa taala tuhan yang maha esa segera turun bagi pengadil yang tidak adil
"saya tidak tau apakah keputusan hakim sudah sesuai dengan hukum di negara kita.. kita rakyat kecil hanya bisa berdo,a :
YA ALLAH YA RABBI jika keputusan nya adil berilah para hakim itu hidup yang berkah dan berikanlah ganjaran pahala pada mereka,Tapi YA ALLAH jika putusannya zholim laknatlah para hakim2 itu dan berilah azab mu selagi mereka hidup dan sesudah mati.. 🙏🙏🙏🙏🙏🙏🙏",saya tidak tahu apakah keputusan hakim sudah sesuai dengan hukum di negara kita kita rakyat kecil hanya bisa berdoa a iya allah iya rabi jika keputusan nya adil berilah para hakim itu hidup yang berkah dan berikanlah ganjaran pahala pada mereka tapi iya allah jika putusannya zalim laknatlah para hakim itu dan berilah azab mu selagi mereka hidup dan sesudah mati
Semoga ada penerus imam samudera yg bisa melenyapkan orang2 kejaksaan kehakiman dan aparat penegak hukum lain serta anggota DPR MPR yang GK berguna,semoga ada penerus imam samudera yang bisa melenyapkan orang kejaksaan kehakiman dan aparat penegak hukum lah serta anggota dewan perwakilan rakyat majelis permusyawaratan rakyat yang tidak berguna
"Allah Tidak Tidur... bersabarlah pak... di akhirat kelak ada Hari Pengadilan untuk semua makhluk dan tidak akan pernah bisa dibuat tipu daya lagi.

Mereka yang tidak amanah dengan jabatan mereka kelak Allah akan siksa dengan Amat Pedih sebab kezaliman yang mereka lakukan.",allah tidak tidur bersabarlah pak di akhirat kelak ada hari pengadilan untuk semua makhluk dan tidak akan pernah bisa dibuat tipu daya lagi mereka yang tidak amanah dengan jabatan mereka kelak allah akan siksa dengan amat pedih sebab kezaliman yang mereka lakukan
