text,cleaned
"Menyedihkan, mengerikan & semoga azab Alloh SWT Tuhan YME segera turun bagi pengadil yg tdk adil...",sedih keri moga azab allah subhanahu wa taala tuhan maha esa turun adil adil
"saya tidak tau apakah keputusan hakim sudah sesuai dengan hukum di negara kita.. kita rakyat kecil hanya bisa berdo,a :
YA ALLAH YA RABBI jika keputusan nya adil berilah para hakim itu hidup yang berkah dan berikanlah ganjaran pahala pada mereka,Tapi YA ALLAH jika putusannya zholim laknatlah para hakim2 itu dan berilah azab mu selagi mereka hidup dan sesudah mati.. 🙏🙏🙏🙏🙏🙏🙏",tahu putus hakim sesuai hukum negara rakyat doa a iya allah iya rabi putus adil ilah hakim hidup berkah beri ganjar pahala iya allah putus zalim laknat hakim ilah azab mu hidup mati
Semoga ada penerus imam samudera yg bisa melenyapkan orang2 kejaksaan kehakiman dan aparat penegak hukum lain serta anggota DPR MPR yang GK berguna,moga terus imam samudera lenyap orang jaksa hakim aparat tegak hukum anggota dewan wakil rakyat majelis musyawarat rakyat guna
"Allah Tidak Tidur... bersabarlah pak... di akhirat kelak ada Hari Pengadilan untuk semua makhluk dan tidak akan pernah bisa dibuat tipu daya lagi.

Mereka yang tidak amanah dengan jabatan mereka kelak Allah akan siksa dengan Amat Pedih sebab kezaliman yang mereka lakukan.",allah tidur sabar pak akhirat kelak hari adil untuk makhluk tipu daya amanah jabat kelak allah siksa pedih zalim laku
Semoga masih tersisa keadilan..kasus Pak Tom akan menjadi potret keadilan di negeri ini. Kasus ini hampir bersamaan dengan ramainya kasus ijazah palsu mantan pemimpin negeri ini. Di sinilah rakyat sebagai pemegang kekuasaan tertinggi di negeri ini akan dipertontonkan drama kekuasaan yg mempengaruhi keadilan,moga sisa keadilankasus pak tom jadi potret adil negeri kasus ramai kasus ijazah palsu mantan pimpin negeri rakyat pegang kuasa tinggi negeri tonton drama kuasa pengaruh adil
"Ini cara tuhan untuk menguatkan dan mengukuhkan Tom Lembong. Beliau akan 'menjelma' menjadi sosok inspiratif khususnya bagi negeri ini. Tom Limbong kini menjadi 'simbol' dan 'sinyal ' betapa negeri ini harus dibenahi. Dan keadilan yang 'dikebiri' akan muncul ke permukaan menghukum siapa saja  orang2  yang telah mengebirinya.
Semoga Pak Tom Lembong sehat dan tetap semangat. Semoga hikmah segera menceritakan peristiwa ini. #SalamMataPenaSurga",cara tuhan untuk kuat kukuh tom lembong beliau jelma jadi sosok inspiratif khusus negeri tom limbong jadi simbol sinyal betapa negeri benah adil kebiri muncul muka hukum orang bir moga pak tom lembong sehat tetap semangat moga hikmah cerita peristiwa
Pastinya ini pesanan si planga-plongo... semoga Allah memberikan balasan setimpal untuk si Dzalim beserta kroni2nya. Sedih atas matinya keadilan di Negri ini. Ya Allah lepaskanlah bangsa Indonesia dari pemimpin bodoh dan pemerintahan Dzalim,pesan sil plangaplongo moga allah beri balas timpal untuk sil zalim kroni sedih atas mati adil negeri iya allah lepas bangsa indonesia pimpin bodoh perintah zalim
"Ya Allah, 
berikanlah shalawat kepada pemimpin kami Nabi Muhammad, 
dan sibukkanlah orang-orang dzalim agar mendapat kejahatan dari orang dzalim lainnya, 
selamatkanlah kami dari kejahatan mereka. 
Dan berikanlah shalawat kepada seluruh keluarga dan para sahabat beliau",iya allah beri selawat pimpin nabi muhammad sibuk orangorang zalim jahat orang zalim selamat jahat beri selawat keluarga sahabat beliau
"Mengingatkan para hakim pengadilan dunia, bahwa mereka akan menghadapi pengadilan akhirat. Apapun keputusan mereka di dunia, pasti akan dipertanggungjawabkan di akhirat. Dan Keadilan yang Haq pasti ditunjukkan oleh sang Maha Adil dan Maha Kuasa. Apakah itu langsung di dunia, di alam kubur atau saat di yaumil Mizan saat pengadilan di akhirat.",ingat hakim adil dunia hadap adil akhirat putus dunia dipertanggungjawabkan akhirat adil hak tunjuk sang maha adil maha kuasa langsung dunia alam kubur yaumil mizan adil akhirat
"Setelah kasus ini akan terus Allah tampak kan dg terang  menderang nasib org yg menzalimin  Pak Tom. 
Alam akan menyeleksi mana manusia yg twrus berjuang utk kebenaran.
Dan manusia yg tdk layak meneruskan kezalimannya . Allahu akbar.
Allah meneguhkan hati pak lembong. Doa kami  sll buat kita semua dijalan yg benar.",kasus terus allah tampak terang derang nasib orang menzalimin pak tom alam seleksi manusia twrus juang untuk benar manusia layak terus zalim allahu akbar allah teguh hati pak lembong doa jalan benar
"Ketika yg korupsi ratusan Triliun gak da berita sama sekali penjara cuma 2-3 tahunan masih bisa hidup enak.Ada beberapa masih asik beraktivitas dan bahkan jadi menteri hanya karena ikut partisipasi di pemerintahan.Nasib bangsa dipertaruhkan karena kerakusan akan uang dan jabatan.Gila.. mau dibawa kemana????.SDA banyak apalagi dengar kata hilirisasi tambang tahunya hanya untuk kalangan mereka saja rakyat dirugikan dengan segala kerusakan.But,IT's oke rakyat suka.Gak tahu mereka dibuat bodoh dengan program gratisan.Mana APBN defisit terus pdhl dah efisiensi. Ternyata efisiensinya cuma kerakyat bukan ke pejabat.Nasib...nasib...Next,memilih dilihat programnya bukan karena kasihan atau alasan lain.Yang rugi semua bukan cuma kamu aja mana 5 tahun iya kalau gak nambah.",korupsi ratus triliun berita penjara tahun hidup enakada asyik aktivitas jadi menteri ikut partisipasi pemerintahannasib bangsa taruh rakus uang jabatangila bawa kemanasda dengar kata hilir tambang tahun untuk kalang rakyat rugi kerusakanbut oke rakyat sukagak tahu bodoh program gratisanmana anggar belanja negara defisit terus efisiensi nyata efisiensi rakyat pejabatnasibnasibnext pilih lihat program kasih alas lainyang rugi tahun iya tambah
"Saya melihat saat debat Cawapres yg mana saat itu gibran dgn sangat lancangnya dan tdk beradab sedikit pun menyebut nama Pak Tom Lembong. Kelihatan jelas bahwa dia memendam dendam kpd beliau, maka ketika Pak Tom di tangkap KPK saya sdh menduga bahwa beliau akan ditenggelamkan oleh penguasa lalim. Dan ternyata sdh jelas.",lihat debat calon wakil presiden gibran lancang adab sebut nama pak tom lembong lihat jelas pendam dendam beliau pak tom tangkap komisi berantas korupsi duga beliau tenggelam kuasa lalim nyata jelas
Selama para koruptor masih dipelihara maka semakin bobrok keadilan dinegri ini.... Jangan berharap sama manusia berharap lah kepada tuhan sang pencipta tuhan yang maha esa... Semoga para elit politik koruptor mendapat balasan yang kejam 👍👍👍,koruptor pelihara bobrok adil negeri harap manusia harap tuhan sang cipta tuhan maha esa moga elite politik koruptor balas kejam
"Bersama kami doakan, semoga Hukum di Indonesia kembali sesuai fitrahnya. Entah siapa lg yg akan dipercaya ketika sdh tdk ada lagi keadilan. Sehat2 selalu orang2 baik yg berintegritas.",doa moga hukum indonesia kembali sesuai fitrah percaya adil sehat orang baik integritas
حسبي الله ونعمل وكيل فيهم ..😭😭😭💔💔💔💔,
"Doa orang yang terzalimi yakin akan dikabulkan oleh Allah, dan doa tersebut tidak ada penghalang antara orang yang dizalimi dengan Allah. Cepat atau lambat pasti balasan itu akan sampai kepada para pelaku2nya. Masalah waktu mutlak hak Allah. Hasbunallah wa nikmal wakil🤲🤲🤲",doa orang zalim yakin kabul allah doa sebut halang orang zalim allah cepat lambat balas laku masalah waktu mutlak hak allah hasbunallah wa nikmal wakil
"Semoga semua yg terlibat dlm putusan yg semena² dn tdk adil ini ,kelak di yaumul hisab mendapat balas berlipat dn dicicilkan di muka bumi ini,mrk lupa pd akhirnya semua akan dipertanggujabakan,semangat pak tom,do'a kami selalu menyertai mu,semoga keadilan selalu berpihak pd kebenaran,aamiinn",moga libat putus semena adil kelak yaumul hisab balas lipat cicil muka bumi lupa akhir dipertanggujabakan semangat pak tom doa mu moga adil pihak benar amin
"Inilah potret buram hukum di negeri kita. Negeri penuh dengan rekayasa,sehingga menimbulkan kejanggala-kejalalan dalam memutuskan perkara. Kejajanggalan ini timbul karena tidak didasari bukti dan data yang valid dan legalitas hukum bahkan tidak dihadirkanya saksi kuncii pada saat Tom Lembong menjabat sebagai menteri. Hukum hanya takluk pada kekuasaan ,sehingga menimbulkan abuse of power bagi yang mendapat dakwaan.",potret buram hukum negeri negeri penuh rekayasa timbul kejanggalakejalalan putus perkara kejajanggalan timbul dasar bukti data valid legalitas hukum dihadirkanya saksi kunci tom lembong jabat menteri hukum takluk kuasa timbul abuse of power dakwa
Hanya dua orang ini yg tulus terhadap negara dan sesama warga.. Tom dan anies semoga kalian pemimpin kedpannya amin,dua orang tulus hadap negara warga tom anies moga pimpin kedpannya amin
"Tentunya Rakyat Indonesia tdk pernah akan diam, ketika keadilan dipermainkan oleh oknum yg mau merusak negeri ini...
Orang jujur di dzolimi, sedangkan perusak, pembohong tdk pernah diduduki dipersidangan.. Wahai para Hakim, jaksa ingat Akan datang kepada kalian Pengadilan yg sebenarnya dan akan dipertanyakan kepada kalian semua tentang apa yg telah kalian lakukan didunia..",rakyat indonesia diam adil main oknum rusak negeri orang jujur zalim usak bohong duduk sidang hakim jaksa ingat datang adil benar tanya laku dunia
Laknat Allah SWT buat mereka2 yg zalim...!,laknat allah subhanahu wa taala zalim
"Indonesia ini sangat ditentukan oleh lembaga yudikatif. Maka dari itu yang perlu dibenahi bukan pembangunan. Tapi reformasi lembaga hukumnya. Jika kehakiman, kejaksaan dan kepolisian bagus....maka yg lain pasti ikut bagus semua. Termasuk rakyatnya akan bagus sendiri....",indonesia lembaga yudikatif perlu benah bangun reformasi lembaga hukum hakim jaksa polisi bagusmaka ikut bagus masuk rakyat bagus
Pemimpin yg zolim. Kita doa. Dapat azap Allah berat. Dunia dan ahkirat Semoga BPK tom Allah lindungi.,pimpin zolim doa azap allah berat dunia ahkirat moga bapak tom allah lindung
Orang jujur malah hancur penjilat naik pangkat inilah Konoha . semoga pak tom tetap sehat dan semangat melalui semua ujian dengan baik doa dan dukungan buat pak tom 💪,orang jujur hancur jilat naik pangkat konoha moga pak tom tetap sehat semangat uji baik doa dukung pak tom
"Tom mewakili kekuatan non muslim.
Jika bersatu dengan Anies yang muslim ditambah PDIP yang nasionalis, akan membuat koruptor kencing dalam celana.",tom wakil kuat non muslim satu anies muslim tambah partai demokrasi indonesia juang nasionalis koruptor kencing celana
"Sudah sangat jelas dan gamblang dipertontonkan ketidak adilan kezoliman keserakahan tp mereka masih saja tutup mata, dengan bangga menyanjung dan memuja para rezim,.sungguh diluar nalar.",jelas gamblang tonton adil kezoliman serakah tutup mata bangga sanjung puja rezim sungguh luar nalar
"Hakim yg sudah tidak punya integritas, tidak punya akal utk menyimpulkan, ingat pak hakim anak cucu anda kedepan akan mendapat azab di dunia dan akhirat, kalau anda sendiri langsung nyebur ke neraka jahannam. Hakim yg sudahterima miliyaran rupiah agar bisa menghukum tom walau tidak bersalah. Ya Allah sayangnya negeri hamba ini, jauhilah hakim² ini dari tekanan dan uang, aamiin",hakim punya integritas punya akal untuk simpul ingat pak hakim anak cucu azab dunia akhirat langsung cebur neraka jahanam hakim sudahterima miliyaran rupiah hukum tom salah iya allah sayang negeri hamba jauh hakim tekan uang amin
"Hukum di era democrazy, krn kedaulatan ditangan manusia ( rakyat), mk seburuk apapun itu jika ada yg suka pasti dpt fasilitas dr sistem. Msh mau bertahan utk tdk mengindahkan hukum Allah ?",hukum era demokrasi gila daulat tang manusia rakyat mk buruk suka fasilitas sistem tahan untuk indah hukum allah
