Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Tralalero Tralala,@remon_juni2441,2025-07-31T15:20:36.000Z,False,,0,0,0,251,[],[],[],https://pbs.twimg.com/profile_images/1912916795616538624/1HkbnMDg_normal.jpg,https://x.com/remon_juni2441/status/1950939661817553362,tweet_id:1950939661817553362
1312,@mencla_mencle,2025-07-31T15:08:02.000Z,False,Si gendut lincah ,0,0,0,289,[],['@prabowo'],[],https://pbs.twimg.com/profile_images/1950865553905856512/i-ECy5sS_normal.jpg,https://x.com/mencla_mencle/status/1950936497869443536,tweet_id:1950936497869443536
Lucky Gene0420,@pj0ngseong,2025-07-31T15:56:34.000Z,False,"Giliran minta hadirkan yang itu sebagai saksi, langsung dibebasin. Emang dasarnya kagak salah. Lawak emang.",0,0,0,61,[],[],[],https://pbs.twimg.com/profile_images/1860319631069839364/d4WZHoCp_normal.jpg,https://x.com/pj0ngseong/status/1950948713414774809,tweet_id:1950948713414774809
A Montage of ( Delta ),@budwige_onecho,2025-07-31T15:07:44.000Z,False,Mulyono be like : dah lah gue log out aja dari dunia,0,0,0,385,[],[],[],https://pbs.twimg.com/profile_images/1874650023084077056/DHOMbGYH_normal.jpg,https://x.com/budwige_onecho/status/1950936423697457581,tweet_id:1950936423697457581
Yadi Haryadi,@yadiharyadi,2025-07-31T14:49:40.000Z,False,Sepertinya bakal ada yang diperiksa dan jadi tsk jg,0,0,0,621,[],[],[],https://pbs.twimg.com/profile_images/1847417656124854272/iisqQkxi_normal.jpg,https://x.com/yadiharyadi/status/1950931876996424138,tweet_id:1950931876996424138
jokodoloqqqq,@jokodoloq,2025-07-31T15:44:33.000Z,False,"2029 mulus tdk punya musuh, anies mati kutu",0,0,0,34,[],[],[],https://pbs.twimg.com/profile_images/1605628786929594369/wDYwU3Ax_normal.jpg,https://x.com/jokodoloq/status/1950945689942311230,tweet_id:1950945689942311230
wisanggeni,@wisangunivers,2025-07-31T15:54:18.000Z,False,Jangan mau,0,0,0,20,[],[],[],https://pbs.twimg.com/profile_images/1836697968784941056/Y5N_n26B_normal.jpg,https://x.com/wisangunivers/status/1950948140581818406,tweet_id:1950948140581818406
Didit Bp,@diditbocor,2025-07-31T14:55:06.000Z,False,"Nanti tom lembong ngerasa punya jasa ke prabowo, atau sebaliknya, prabowo nganggep bisa 'pegang' tom lembong.",0,0,0,955,[],[],[],https://pbs.twimg.com/profile_images/1917079008518516736/hujaMxUA_normal.jpg,https://x.com/diditbocor/status/1950933245484302799,tweet_id:1950933245484302799
gmini,@gmini_06,2025-07-31T15:48:33.000Z,False,Seneng bener main pahlawan-pahlawanan ,0,0,0,22,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1747844077553700864/dCTpq1lk_normal.png,https://x.com/gmini_06/status/1950946695832826017,tweet_id:1950946695832826017
candaan,@candaankosong,2025-07-31T15:21:45.000Z,False,Drama macam apalagi ini,0,0,0,126,[],[],[],https://pbs.twimg.com/profile_images/1897626525673095168/NWYZSWDL_normal.jpg,https://x.com/candaankosong/status/1950939951379411214,tweet_id:1950939951379411214
